a,b,c,d,e,f,g
2.700000000000000178e-01,1.999998754821840308e+00,-1.852867740733566565e-05,-2.024524911868177846e+00,1.964737508344880174e-06,-4.353466653138654552e-03,-3.309620049326509467e-02
2.750000000000000222e-01,1.999998659546438073e+00,-1.958627129937885175e-05,-2.024524901471977945e+00,2.156553165293361461e-06,-4.520641249246766177e-03,-3.377403585638576872e-02
2.800000000000000266e-01,1.999998558883675503e+00,-2.068377555498504523e-05,-2.024524890078627681e+00,2.363175960866402180e-06,-4.691214028123206863e-03,-3.445548360445580688e-02
2.850000000000000311e-01,1.999998452632286261e+00,-2.182195986812194663e-05,-2.024524877616546537e+00,2.585444920750822871e-06,-4.865203200719806463e-03,-3.514061266235361802e-02
2.899999999999999800e-01,1.999998340587165524e+00,-2.300159555167667153e-05,-2.024524864010610159e+00,2.824230687975047613e-06,-5.042627319656605919e-03,-3.582949211882055507e-02
2.949999999999999845e-01,1.999998222539359993e+00,-2.422345553613079109e-05,-2.024524849182029573e+00,3.080436321008647481e-06,-5.223505279926907857e-03,-3.652219122977839322e-02
2.999999999999999889e-01,1.999998098276055902e+00,-2.548831436823524393e-05,-2.024524833048233052e+00,3.354998091861861129e-06,-5.407856319602314180e-03,-3.721877942164674574e-02
3.049999999999999933e-01,1.999997967580568581e+00,-2.679694820968536983e-05,-2.024524815522746657e+00,3.648886284185134852e-06,-5.595700020537781004e-03,-3.791932629466054222e-02
3.099999999999999978e-01,1.999997830232622231e+00,-2.815011194228270357e-05,-2.024524796498063051e+00,3.963183245878072167e-06,-5.787056376951829617e-03,-3.862390156606254621e-02
3.150000000000000022e-01,1.999997686008360587e+00,-2.954853737434929895e-05,-2.024524775844190216e+00,4.299090235200166058e-06,-5.981945801445329169e-03,-3.933257506871384868e-02
3.200000000000000067e-01,1.999997534679640587e+00,-3.099298826619686822e-05,-2.024524753449421954e+00,4.657742530113675430e-06,-6.180388962561945282e-03,-4.004541689892736345e-02
3.250000000000000111e-01,1.999997376014420292e+00,-3.248422882875849572e-05,-2.024524729196812256e+00,5.040316523759953466e-06,-6.382406878885173163e-03,-4.076249733705718248e-02
3.300000000000000155e-01,1.999997209776755547e+00,-3.402302307431936089e-05,-2.024524702963573564e+00,5.448032709056821658e-06,-6.588020921664435731e-03,-4.148388684911435975e-02
3.350000000000000200e-01,1.999997035726790662e+00,-3.561013474282137190e-05,-2.024524674620904019e+00,5.882156721012811593e-06,-6.797252815734681347e-03,-4.220965608989424300e-02
3.400000000000000244e-01,1.999996853620748860e+00,-3.724632722816786370e-05,-2.024524644033814269e+00,6.344000379041416048e-06,-7.010124640436001496e-03,-4.293987590610390259e-02
3.450000000000000289e-01,1.999996663210921621e+00,-3.893236350452828926e-05,-2.024524611060956047e+00,6.834922729275340084e-06,-7.226658830533245863e-03,-4.367461733948950486e-02
3.500000000000000333e-01,1.999996464245659578e+00,-4.066900605264288371e-05,-2.024524575554446315e+00,7.356331086880743679e-06,-7.446878177135628739e-03,-4.441395162996369245e-02
3.549999999999999822e-01,1.999996256469361633e+00,-4.245701678612731492e-05,-2.024524537359697618e+00,7.909682078371490279e-06,-7.670805828616340631e-03,-4.515795021873295761e-02
3.599999999999999867e-01,1.999996039622466526e+00,-4.429715697777747641e-05,-2.024524496315241784e+00,8.496482683923417382e-06,-7.898465291532168545e-03,-4.590668475142505728e-02
3.649999999999999911e-01,1.999995813441441728e+00,-4.619018718587399562e-05,-2.024524452252559392e+00,9.118291279688548669e-06,-8.129880431543097183e-03,-4.666022708121636553e-02
3.699999999999999956e-01,1.999995577658773893e+00,-4.813686718048704036e-05,-2.024524404995906135e+00,9.776718680109363735e-06,-8.365075474331922292e-03,-4.741864927195926782e-02
3.750000000000000000e-01,1.999995332002959536e+00,-5.013795586978093554e-05,-2.024524354362138734e+00,1.047342918023304750e-05,-8.604075006523872679e-03,-4.818202360130956208e-02
3.800000000000000044e-01,1.999995076198547883e+00,-5.219421058545004695e-05,-2.024524300160393420e+00,1.121014162500472406e-05,-8.846903976340868975e-03,-4.895042255490695410e-02
